prate,mrate,totpart,totelg,age,totemp,sole,ltotemp
26.1,0.21,1653,6322,8,8709,0,9.072112
100.0,1.42,262,262,6,315,1,5.752573
97.6,0.91,166,170,10,275,1,5.616771
100.0,0.42,257,257,7,500,0,6.214608
82.5,0.53,591,716,28,933,1,6.838405
100.0,1.82,92,92,7,143,1,4.962845
100.0,0.53,399,399,31,628,1,6.44254
92.5,0.34,210,227,13,823,0,6.712956
100.0,0.22,234,234,21,279,1,5.631212
96.8,0.6,120,124,10,141,1,4.94876
83.0,0.5,156,188,5,252,0,5.529429
100.0,1.11,187,187,20,237,1,5.46806
65.5,0.43,350,534,5,681,1,6.523562
84.9,0.51,1519,1790,10,2557,0,7.84659
100.0,0.19,150,150,7,187,1,5.231109
100.0,0.41,160,160,7,188,1,5.236442
100.0,0.84,3448,3448,13,4120,0,8.323608
77.6,0.46,225,290,15,341,0,5.831882
100.0,0.45,519,519,15,598,0,6.393591
100.0,1.13,176,176,8,273,1,5.609472
66.9,0.48,79,118,5,224,1,5.411646
100.0,0.39,270,270,7,415,0,6.028278
70.3,0.21,201,286,7,361,0,5.888878
100.0,0.95,381,381,23,422,0,6.045005
51.3,0.34,284,554,9,797,1,6.680855
61.3,0.36,171,279,15,2102,1,7.650645
88.3,0.96,3858,4371,28,4371,0,8.382747
100.0,0.87,143,143,8,143,1,4.962845
82.9,4.2,107,129,7,131,1,4.875197
77.8,0.08,770,990,6,1042,0,6.948897
100.0,0.91,179,179,6,312,1,5.743003
90.1,0.44,2803,3110,6,3543,0,8.172729
85.3,0.62,93,109,13,158,0,5.062595
100.0,0.28,425,425,7,458,0,6.126869
100.0,0.59,2027,2027,7,2442,0,7.800573
75.6,0.3,438,579,11,1721,0,7.450661
100.0,0.56,584,584,7,685,1,6.529419
100.0,0.65,1284,1284,5,1559,0,7.3518
100.0,1.31,109,109,37,297,1,5.693732
78.2,0.21,1017,1301,7,2125,0,7.661527
77.4,0.41,209,270,7,381,1,5.9428
100.0,0.23,145,145,6,405,0,6.003887
77.0,0.41,612,795,12,1125,0,7.025538
100.0,2.03,133,133,35,206,1,5.327876
98.9,0.52,275,278,42,297,0,5.693732
75.3,0.39,192,255,6,1024,0,6.931472
77.2,0.16,464,601,6,636,0,6.455199
100.0,0.99,542,542,9,622,0,6.43294
88.5,0.1,3107,3510,5,6428,0,8.768418
100.0,0.02,732,732,7,2284,0,7.733684
100.0,0.88,173,173,7,322,1,5.774551
42.5,0.29,316,744,37,775,0,6.652863
100.0,0.13,122,122,11,157,1,5.056246
100.0,1.59,390,390,32,446,0,6.100319
74.7,0.58,2307,3089,36,4067,1,8.310661
37.5,0.29,1136,3033,6,3351,0,8.117014
78.0,0.14,2332,2990,9,9080,1,9.11383
84.0,0.65,905,1078,31,1253,1,7.133296
100.0,2.39,179,179,6,179,1,5.187386
100.0,1.14,307,307,20,411,1,6.018593
84.9,0.41,686,808,7,1404,1,7.247081
79.5,0.22,1634,2055,5,2304,0,7.742402
100.0,0.45,118,118,5,149,1,5.003946
100.0,1.1,337,337,14,720,1,6.579251
95.8,0.63,113,118,6,130,0,4.867535
99.3,0.49,599,603,28,665,0,6.499787
81.2,0.15,108,133,7,231,1,5.442418
93.6,0.11,162,173,27,211,1,5.351858
88.1,0.24,222,252,8,425,1,6.052089
100.0,0.65,150,150,16,198,1,5.288267
100.0,1.35,285,285,10,287,0,5.659482
100.0,0.2,2311,2311,5,3062,0,8.026824
81.0,0.18,102,126,27,151,1,5.01728
100.0,1.17,101,101,8,247,0,5.509388
73.8,1.12,357,484,20,24656,1,10.11278
65.7,0.15,334,508,6,808,0,6.694562
94.9,1.66,1330,1402,27,2437,0,7.798523
38.1,0.2,69,181,6,529,1,6.270988
91.9,0.2,148,161,11,575,0,6.35437
35.6,0.19,678,1904,9,5102,0,8.537388
71.9,0.22,1252,1741,5,2896,0,7.971086
77.4,2.24,212,274,6,379,0,5.937536
100.0,0.62,163,163,11,253,1,5.53339
93.2,0.44,1915,2054,8,3400,1,8.131531
84.6,0.44,312,369,7,591,0,6.381816
90.3,0.47,940,1041,8,1102,0,7.004882
73.0,0.12,92,126,8,138,1,4.927254
86.3,0.44,320,371,7,482,0,6.177944
95.6,0.44,259,271,7,3661,1,8.205492
80.5,4.66,24772,30767,16,31973,0,10.37265
65.6,0.26,80,122,7,306,1,5.723585
37.7,0.35,251,665,8,1395,0,7.24065
78.4,0.23,254,324,6,391,0,5.968708
61.7,0.23,463,750,10,926,1,6.830874
58.7,0.25,2371,4039,14,4838,0,8.484257
81.1,0.41,189,233,8,424,1,6.049734
100.0,0.69,427,427,10,3209,1,8.073714
58.4,0.34,108,185,5,273,1,5.609472
34.2,0.21,230,672,5,798,1,6.682108
100.0,1.1,381,381,7,478,1,6.169611
100.0,0.51,203,203,9,597,1,6.391917
96.0,0.5,25828,26906,23,93165,0,11.44213
100.0,0.23,753,753,7,945,1,6.851185
100.0,0.9,934,934,7,989,0,6.896694
