Course ID,Course Name,Course URL,Language,Category,Sub Category,Avg Rating,Enrollment,Hours Of Video,Instructor Name,Approved Date,Update Date
567828,Complete Python Bootcamp: Go from zero to hero in Python 3,https://www.udemy.com/complete-python-bootcamp,en,Development,Programming Languages,4.52,"843,337",23.96,Jose Portilla,10/12/15,9/4/19
1565838,The Complete 2020 Web Development Bootcamp,https://www.udemy.com/the-complete-web-development-bootcamp,en,Development,Web Development,4.7,"166,323",53.42,Dr. Angela Yu,10/25/18,4/13/20
1754098,The Data Science Course 2020: Complete Data Science Bootcamp,https://www.udemy.com/the-data-science-course-complete-data-science-bootcamp,en,Development,Data Science,4.51,"222,743",28.25,365 Careers,6/21/18,4/6/20
950390,Machine Learning A-Z™: Hands-On Python & R In Data Science,https://www.udemy.com/machinelearning,en,Development,Data Science,4.47,"579,444",40.87,Kirill Eremenko,9/13/16,4/28/20
625204,The Web Developer Bootcamp,https://www.udemy.com/the-web-developer-bootcamp,en,Development,Web Development,4.64,"539,668",46.41,Colt Steele,11/3/15,4/19/20
903744,Python for Data Science and Machine Learning Bootcamp,https://www.udemy.com/python-for-data-science-and-machine-learning-bootcamp,en,Development,Data Science,4.56,"294,987",24.78,Jose Portilla,9/18/16,2/27/20
533682,Java Programming Masterclass for Software Developers,https://www.udemy.com/java-the-complete-java-developer-course,en,Development,Programming Languages,4.56,"416,244",80.11,Tim Buchalka,7/22/15,4/7/20
1362070,"React - The Complete Guide (incl Hooks, React Router, Redux)",https://www.udemy.com/react-the-complete-guide-incl-redux,en,Development,Programming Languages,4.63,"215,223",38.45,Academind by Maximilian Schwarzmüller,10/24/17,2/16/20
1778502,iOS 13 & Swift 5 - The Complete iOS App Development Bootcamp,https://www.udemy.com/ios-13-app-development-bootcamp,en,Development,Mobile Apps,4.76,"133,271",58.69,Dr. Angela Yu,8/6/18,2/19/20
851712,The Complete JavaScript Course 2020: Build Real Projects!,https://www.udemy.com/the-complete-javascript-course,en,Development,Web Development,4.57,"278,451",27.82,Jonas Schmedtmann,10/14/16,12/4/19
